id,slug,name,startTime,endTime,signupDeadline,medium,website,tagline,city,prize,prizeCount,awardedTeamCount,finalistTeamCount,sponsorCount
141,scaling2024,Scaling Ethereum 2024,2024-04-05T00:00:00.000Z,2024-04-26T00:00:00.000Z,2024-04-03T15:59:00.000Z,virtual,null,null,null,103000,59,154,0,1
140,frameworks,Frameworks,2024-03-22T00:00:00.000Z,2024-03-24T00:00:00.000Z,2024-03-22T03:59:00.000Z,virtual,null,null,null,64770,30,142,0,1
98,london2024,ETHGlobal London,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-01T23:59:00.000Z,physical,null,null,"London, GB",257000,125,295,0,1
77,circuitbreaker,Circuit Breaker,2024-02-02T00:00:00.000Z,2024-02-21T00:00:00.000Z,2024-02-01T04:59:00.000Z,virtual,null,null,null,35000,19,24,0,1
64,lfgho,LFGHO,2024-01-12T00:00:00.000Z,2024-01-24T00:00:00.000Z,2023-04-20T03:59:02.280Z,virtual,null,null,null,60000,9,83,0,1
94,ethindia2023,ETHIndia 2023,2023-12-08T00:00:00.000Z,2023-12-10T00:00:00.000Z,2023-11-16T07:59:00.000Z,physical,https://ethindia.co,null,"Bengaluru, IN",257000,99,296,0,1
56,istanbul,ETHGlobal Istanbul,2023-11-17T06:00:12.482Z,2023-11-19T15:00:00.000Z,2023-11-01T20:59:00.000Z,physical,null,null,"Istanbul, TR",609500,213,672,0,1
54,ethonline2023,ETHOnline 2023,2023-10-06T13:00:31.675Z,2023-10-27T22:00:41.424Z,2023-10-05T03:59:03.706Z,virtual,null,null,null,195000,96,444,0,1
59,newyork2023,ETHGlobal New York,2023-09-22T13:00:00.000Z,2023-09-24T22:00:00.000Z,2023-09-05T03:59:00.000Z,physical,null,null,"New York City, US",468500,191,503,0,1
79,superhack,Superhack,2023-08-04T19:00:00.000Z,2023-08-18T00:00:00.000Z,2023-08-04T03:59:00.000Z,virtual,null,null,null,144000,51,198,0,1
57,paris2023,ETHGlobal Paris,2023-07-21T07:00:47.405Z,2023-07-23T16:00:00.000Z,2023-07-07T21:59:00.000Z,physical,null,null,"Paris, FR",437500,162,357,0,1
58,waterloo2023,ETHGlobal Waterloo,2023-06-23T13:00:48.778Z,2023-06-25T22:00:00.000Z,2023-06-21T03:59:00.000Z,physical,null,null,"Waterloo, CA",205000,92,171,0,1
60,hackfs2023,HackFS 2023,2023-06-02T13:00:39.046Z,2023-06-21T22:00:00.000Z,2023-06-01T03:59:00.000Z,virtual,null,null,null,133500,52,141,0,1
65,autonomous,Autonomous Worlds,2023-05-18T16:00:22.021Z,2023-05-26T22:00:32.017Z,2023-05-17T03:59:42.491Z,virtual,null,"Explore Autonomous Worlds and MUD with 0xPARC, Lattice, and ETHGlobal",null,25000,10,19,0,1
66,lisbon,ETHGlobal Lisbon,2023-05-12T09:00:09.370Z,2023-05-14T17:00:21.368Z,2023-05-01T16:00:35.119Z,physical,null,null,"Lisbon, PT",259500,100,271,0,1
53,tokyo,ETHGlobal Tokyo,2023-04-14T00:00:20.820Z,2023-04-16T09:00:44.284Z,2023-04-04T14:59:03.075Z,physical,null,null,"Tokyo, JP",354500,136,526,0,1
55,scaling2023,Scaling Ethereum 2023,2023-03-10T14:00:23.896Z,2023-03-31T22:00:00.000Z,2023-03-09T04:59:00.000Z,virtual,null,null,null,172000,62,267,0,1
52,spacewarp,FVM Space Warp,2023-01-20T14:00:00.000Z,2023-02-10T23:00:00.000Z,2023-01-20T04:59:00.256Z,virtual,null,FVM SPACE WARP HACKATHON,null,40500,15,60,0,1
42,ethindia2022,ETHIndia 2022,2022-12-02T05:00:00.000Z,2022-12-04T05:00:00.000Z,2022-11-21T05:00:00.000Z,physical,https://ethindia.co,Asia’s Biggest Ethereum Hackathon,"Bengaluru, IN",345500,106,2056,0,1
39,hackfevm,Hack FEVM,2022-11-18T05:00:00.000Z,2022-11-20T05:00:00.000Z,2022-11-16T05:00:00.000Z,virtual,https://fevm.ethglobal.com/,Be the First to Build,null,35000,6,20,0,1
38,ethsanfrancisco2022,ETHSanFrancisco 2022,2022-11-04T04:00:00.000Z,2022-11-06T04:00:00.000Z,2022-10-24T04:00:00.000Z,physical,https://sf.ethglobal.com/,null,"San Francisco, US",322500,120,325,0,1
37,ethbogota,ETHBogotá,2022-10-07T04:00:00.000Z,2022-10-09T04:00:00.000Z,2022-09-26T04:00:00.000Z,physical,https://bogota.ethglobal.com,null,"Bogota, CO",399000,129,367,0,1
36,ethonline2022,ETHOnline 2022,2022-09-02T16:00:00.000Z,2022-09-28T23:00:00.000Z,2022-08-31T04:00:00.000Z,virtual,https://online.ethglobal.com,Build the decentralized web,null,326000,112,483,0,1
35,ethmexico,ETHMexico,2022-08-19T04:00:00.000Z,2022-08-21T04:00:00.000Z,2022-08-08T04:00:00.000Z,physical,https://mexico.ethglobal.com,ETHGlobal returns to Latin America,"Mexico City, MX",170000,45,114,0,1
41,metabolism,Metabolism,2022-08-04T04:00:00.000Z,2022-08-10T04:00:00.000Z,2022-11-21T05:00:00.000Z,virtual,https://zora.ethglobal.com,Build the future creative on-chain ecosystem,null,28500,13,66,0,1
34,hackfs2022,HackFS 2022,2022-07-08T04:00:00.000Z,2022-07-29T04:00:00.000Z,2022-07-06T04:00:00.000Z,virtual,https://ethglobal.com/events/hackfs2022,Build the decentralized web,null,189000,41,30225,0,1
33,ethnewyork2022,ETHNewYork 2022,2022-06-24T04:00:00.000Z,2022-06-26T04:00:00.000Z,2022-06-13T04:00:00.000Z,physical,https://nyc.ethglobal.com/,Build the decentralized web,null,418500,139,414,0,1
31,hackmoney2022,HackMoney 2022,2022-05-06T04:00:00.000Z,2022-05-27T04:00:00.000Z,2022-05-04T04:00:00.000Z,virtual,https://defi.ethglobal.com/,Build the decentralized web,null,311000,103,258,0,1
25,ethamsterdam,ETHAmsterdam,2022-04-22T04:00:00.000Z,2022-04-24T04:00:00.000Z,2022-04-18T04:00:00.000Z,physical,https://amsterdam.ethglobal.com/,Build the decentralized web,null,360000,101,173,0,1
30,daohacks,DAOHacks,2022-04-08T04:00:00.000Z,2022-04-10T04:00:00.000Z,2022-04-08T04:00:00.000Z,virtual,https://dao.ethglobal.com,null,null,4000,2,2,0,1
29,lfgrow,LFGrow,2022-03-18T04:00:00.000Z,2022-03-30T04:00:00.000Z,2022-03-16T04:00:00.000Z,virtual,https://lfgrow.ethglobal.com/,null,null,157000,35,46,0,1
28,buildquest,BuildQuest,2022-03-04T05:00:00.000Z,2022-03-16T04:00:00.000Z,2022-03-02T05:00:00.000Z,virtual,https://buildquest.ethglobal.com/,null,null,115450,38,158,0,1
27,roadtoweb3,Road to Web3,2022-02-03T05:00:00.000Z,2022-02-08T05:00:00.000Z,2022-02-01T05:00:00.000Z,virtual,https://web3.ethglobal.com,The road to Web3.,null,204500,10,212,0,1
24,nfthack2022,NFTHack 2022,2022-01-14T05:00:00.000Z,2022-01-16T05:00:00.000Z,2022-01-12T05:00:00.000Z,virtual,https://nft.ethglobal.com,Build the fair future 2022,null,0,0,0,0,1
22,web3jam,Web3Jam,2021-11-12T05:00:00.000Z,2021-11-24T05:00:00.000Z,2021-11-10T05:00:00.000Z,virtual,https://web3jam.ethglobal.com,"Focused on decentralized media, Web3, and NFTs.",null,86750,26,162,0,1
21,unicode,UniCode,2021-10-29T04:00:00.000Z,2021-11-10T05:00:00.000Z,2021-10-25T04:00:00.000Z,virtual,https://unicode.ethglobal.com,Building the DeFi ecosystem with Uniswap!,null,129750,26,37,0,1
20,ethonline2021,ETHOnline 2021,2021-09-17T04:00:00.000Z,2021-10-14T04:00:00.000Z,2021-09-13T04:00:00.000Z,virtual,https://online.ethglobal.com/,2021's largest Ethereum event,null,349000,96,239,0,1
19,hackfs2021,HackFS 2021,2021-07-30T04:00:00.000Z,2021-08-20T04:00:00.000Z,2021-07-26T04:00:00.000Z,virtual,https://fs.ethglobal.co/,Create the Foundation of the Decentralized Web,null,0,0,0,0,1
18,hackmoney2021,HackMoney 2021,2021-06-18T04:00:00.000Z,2021-07-09T04:00:00.000Z,2021-06-04T04:00:00.000Z,virtual,https://defi.ethglobal.co,The largest DeFi hackathon of 2021,null,0,0,0,0,1
17,web3weekend,Web3 Weekend,2021-05-28T04:00:00.000Z,2021-05-30T04:00:00.000Z,2021-05-24T04:00:00.000Z,virtual,https://web3weekend.ethglobal.com,Connecting creatives with engineers to build a fair future,null,5000,1,3,0,1
16,scaling,Scaling Ethereum,2021-04-09T04:00:00.000Z,2021-05-14T04:00:00.000Z,null,virtual,https://scaling.ethglobal.co/,Build for the future,null,0,0,0,0,1
15,nfthack,NFTHack,2021-03-19T04:00:00.000Z,2021-03-21T04:00:00.000Z,null,virtual,https://nft.ethglobal.co,Build the fair future,null,0,0,0,0,1
14,marketmake,MarketMake,2021-01-15T05:00:00.000Z,2021-02-05T05:00:00.000Z,2021-01-09T05:00:00.000Z,virtual,https://marketmake.ethglobal.co,Building the future of finance,null,0,0,0,0,1
13,ethonline,ETHOnline,2020-10-01T04:00:00.000Z,2020-10-31T04:00:00.000Z,2020-09-15T04:00:00.000Z,virtual,https://ethonline.org,2020's largest Ethereum event,null,0,0,0,0,1
12,hackfs,HackFS,2020-07-07T04:00:00.000Z,2020-07-31T04:00:00.000Z,2020-06-30T04:00:00.000Z,virtual,https://hackfs.com,Build the decentralized web,null,0,0,0,0,1
10,hackmoney,HackMoney,2020-04-24T04:00:00.000Z,2020-05-24T04:00:00.000Z,null,virtual,https://ethglobal.online,The largest DeFi hackathon,null,0,0,0,0,1
9,ethlondonuk,ETHLondonUK,2020-02-28T05:00:00.000Z,2020-03-01T05:00:00.000Z,null,physical,https://ethlondon.com,null,null,0,0,0,0,1
2,ethwaterloo2019,ETHWaterloo 2019,2019-11-08T05:00:00.000Z,2019-11-10T05:00:00.000Z,null,physical,https://ethwaterloo.com,null,null,0,0,0,0,1
8,ethboston,ETHBoston,2019-09-06T04:00:00.000Z,2019-09-08T04:00:00.000Z,null,physical,https://eth.boston,null,null,0,0,0,0,1
7,ethnewyork2019,ETHNewYork,2019-05-17T04:00:00.000Z,2019-05-19T04:00:00.000Z,null,physical,https://ethnewyork.com,null,null,0,0,0,0,1
5,ethcapetown,ETHCapeTown,2019-04-19T04:00:00.000Z,2019-04-21T04:00:00.000Z,null,physical,https://ethcapetown.com,null,null,0,0,0,0,1
4,ethparis,ETHParis,2019-03-07T23:00:00.000Z,2019-03-10T05:00:00.000Z,null,physical,https://ethparis.com,null,null,0,0,0,0,1
6,ethsingapore,ETHSingapore,2018-12-07T05:00:00.000Z,2018-12-09T05:00:00.000Z,null,physical,https://ethsingapore.co,null,null,0,0,0,0,1
3,ethsanfrancisco,ETHSanFrancisco,2018-10-05T07:00:00.000Z,2018-10-07T04:00:00.000Z,null,physical,https://ethsanfrancisco.com,null,null,0,0,0,0,1
1,ethwaterloo,ETHWaterloo,2017-10-13T04:00:00.000Z,2017-10-15T04:00:00.000Z,null,physical,https://ethwaterloo.com,null,null,0,0,0,0,1
